340,7,0.797556
341,0,-2.03421
341,1,-1.83316
341,2,-3.85374
341,3,-3.36028
341,4,-4.08451
341,5,-5
341,6,-2.98888
341,7,0.870742
384,0,0.305487
384,1,0.264145
384,2,0.251013
384,3,0.248262
384,4,0.247635
384,5,0.217666
384,6,0.281367
384,7,-0.0491056
386,0,0.267501
386,1,0.200809
386,2,-0.33353
386,3,0.241779
386,4,0.241656
386,5,-1.77673
386,6,0.202171
386,7,-0.468643
387,0,0.240384
387,1,0.220471
387,2,-0.668231
387,3,0.24447
387,4,0.240635
387,5,-3.83095
387,6,0.21459
387,7,-0.514649
388,0,0.23725
388,1,0.272043
388,2,-0.886073
388,3,0.301295
388,4,0.252493
388,5,-2.81105
388,6,0.279078
388,7,-0.81351
389,0,0.228854
389,1,0.256458
389,2,-2.18967
389,3,0.261524
389,4,0.246325
389,5,-4.57914
389,6,0.163934
389,7,-0.804403
390,0,0.213622
390,1,0.2912
390,2,-2.39985
390,3,0.297581
390,4,0.29251
390,5,-5
390,6,0.274775
390,7,-0.53273
391,0,0.0807524
391,1,0.149025
391,2,-3.79083
391,3,0.277545
391,4,0.340335
391,5,-5
391,6,-0.02466
391,7,-0.268054
392,0,0.116587
392,1,0.0430359
392,2,-2.74175
392,3,0.256092
392,4,0.264867
392,5,-5
392,6,0.276195
392,7,-0.51067
393,0,0.136142
393,1,0.158171
393,2,-3.27723
393,3,0.234539
393,4,0.273692
393,5,-5
393,6,0.406518
393,7,-0.482115
394,0,0.355603
394,1,0.166295
394,2,-4.7071
394,3,0.199976
394,4,0.179394
394,5,-5
394,6,0.267924
394,7,-0.732849
395,0,0.400529
395,1,0.211976
395,2,-2.67005
395,3,0.105242
395,4,0.216964
395,5,-2.74162
395,6,0.437571
395,7,-0.206611
428,0,-1.38155
428,1,-1.75115
428,2,-4.99781
428,3,0.238294
428,4,0.211153
428,5,-4.68332
428,6,-3.09598
428,7,-0.463298
429,0,-2.49678
429,1,-0.959048
429,2,-4.30915
429,3,0.181983
429,4,0.012445
429,5,-4.65047
429,6,-3.26123
429,7,-0.434437
430,0,-1.27221
430,1,-3.09269
430,2,-4.66221
430,3,0.444593
430,4,0.233128
430,5,-4.83415
430,6,-1.89382
430,7,-0.506091
431,0,-2.67396
431,1,-1.79554
431,2,-4.98806
431,3,-1.42837
431,4,0.282725
431,5,-4.93064
431,6,-2.90238
431,7,-0.722185
432,0,-3.18908
432,1,-2.59468
432,2,-4.68948
432,3,-1.50602
432,4,0.531308
432,5,-5
432,6,-2.61098
432,7,-0.36428
465,0,-2.3908
465,1,-3.38654
465,2,-4.88188
465,3,-2.11349
465,4,-1.35312
465,5,-5
465,6,-1.65538
465,7,-0.437875
466,0,-2.82463
466,1,-4.16408
466,2,-4.99559
466,3,-3.40075
466,4,-3.15174
466,5,-5
466,6,-1.48582
466,7,0.183558
467,0,-3.49188
467,1,-4.53985
467,2,-5
467,3,-4.11286
467,4,-3.22574
467,5,-5
467,6,-1.38802
467,7,0.239833
468,0,-4.02174
468,1,-4.2937
468,2,-4.99995
468,3,-4.29071
468,4,-4.95798
468,5,-5
468,6,-4.99763
468,7,0.67772
469,0,-3.1244
469,1,-2.85709
469,2,-4.51161
469,3,-3.61984
469,4,-3.5272
469,5,-5
469,6,-3.73506
469,7,0.839581
512,0,0.290638
512,1,0.26546
512,2,0.239502
512,3,0.265339
512,4,0.244814
512,5,0.374419
512,6,0.289442
512,7,-0.85289
514,0,0.217425
514,1,0.292215
514,2,-1.35145
514,3,0.25757
514,4,0.270654
514,5,-1.79249
514,6,0.200516
514,7,-0.282177
515,0,0.238207
515,1,0.292972
515,2,-1.26952
515,3,0.29211
515,4,0.248319
515,5,-2.96425
515,6,0.227297
515,7,-0.712832
516,0,0.242941
516,1,0.243853
516,2,-1.10377
516,3,0.357787
516,4,0.251738
516,5,-1.84745
516,6,0.245237
516,7,-0.587122
517,0,0.233575
517,1,0.268352
517,2,-1.3496
517,3,0.298998
517,4,0.29882
517,5,-4.23125
517,6,0.222129
517,7,-0.0927429
518,0,0.251126
518,1,0.249994
518,2,-1.57903
518,3,0.287346
518,4,0.346241
518,5,-5
518,6,0.372684
518,7,-0.50989
519,0,0.0505814
519,1,0.202766
519,2,-3.48462
519,3,0.303468
519,4,0.313418
519,5,-5
519,6,0.0346593
519,7,-0.792441
520,0,0.102569
520,1,0.0794234
520,2,-3.33244
520,3,0.332693
520,4,0.257186
520,5,-5
520,6,0.172936
520,7,-0.755203
521,0,0.136769
521,1,0.112151
521,2,-3.09329
521,3,0.297501
521,4,0.206542
521,5,-5
521,6,0.358373
521,7,-0.3154
522,0,0.234982
522,1,0.254299
522,2,-3.95774
522,3,0.125907
522,4,0.148482
522,5,-5
522,6,0.388984
522,7,-0.658204
523,0,0.27625
523,1,0.426454
523,2,-2.90952
523,3,0.185799
523,4,0.206683
523,5,-3.43322
523,6,0.545766
523,7,-0.709698
556,0,-1.70836
556,1,-0.886631
556,2,-5
556,3,0.154191
556,4,0.106919
556,5,-5
556,6,-1.56264
556,7,-0.762252
557,0,-1.5435
557,1,-0.806621
557,2,-4.99942
557,3,0.224965
557,4,0.114063
557,5,-4.99512
557,6,-2.31849
557,7,-0.739607
558,0,-2.51649
558,1,-1.48931
558,2,-5
558,3,0.212211
558,4,0.061759
558,5,-5
558,6,-2.28413
558,7,-0.523985
559,0,-1.6649
559,1,-2.72544
559,2,-4.94833
559,3,-1.38413
559,4,0.120271
559,5,-5
559,6,-2.18908
559,7,-0.676
560,0,-3.17908
560,1,-2.66352
560,2,-4.96453
560,3,-1.41521
560,4,0.318382
560,5,-5
560,6,-3.19835
560,7,-0.741005
593,0,-2.99847
593,1,-3.2431
593,2,-4.99244
593,3,-2.70223
593,4,-0.726085
593,5,-5
593,6,-2.52488
593,7,-0.00698962
594,0,-2.80291
594,1,-3.67403
594,2,-4.99972
594,3,-2.10119
594,4,-1.66936
594,5,-5
594,6,-1.64826
594,7,0.254762
595,0,-3.49653
595,1,-4.47112
595,2,-4.93556
595,3,-4.27838
595,4,-2.85611
595,5,-5
595,6,-2.53412
595,7,0.315282
596,0,-4.79414
596,1,-4.88389
596,2,-4.9938
596,3,-4.99983
596,4,-4.99987
596,5,-5
596,6,-4.48182
596,7,0.508879
597,0,-4.21157
597,1,-2.89679
597,2,-4.98771
597,3,-3.87838
597,4,-3.80449
597,5,-5
597,6,-2.96628
597,7,0.933992
640,0,0.30394
640,1,0.267485
640,2,0.237911
640,3,0.262739
640,4,0.255674
640,5,0.219524
640,6,0.287598
640,7,-0.49573
642,0,0.286588
642,1,0.265773
642,2,-0.299537
642,3,0.313147
642,4,0.303917
